Epoch, Loss, Train Accuracy, Test Accuracy, Time
000, 0.7062, 0.6529, 0.7778, 0.0305
001, 0.5022, 0.6529, 0.7778, 0.0505
002, 0.5476, 0.6529, 0.7778, 0.0693
003, 0.5699, 0.6529, 0.7778, 0.0878
004, 0.5447, 0.6529, 0.7778, 0.1079
005, 0.5045, 0.6647, 0.7778, 0.1274
006, 0.4747, 0.7588, 0.7778, 0.1473
007, 0.4664, 0.8000, 0.8333, 0.1672
008, 0.4738, 0.8588, 0.8889, 0.1873
009, 0.4782, 0.8588, 0.8889, 0.2069
010, 0.4680, 0.8118, 0.8889, 0.2264
011, 0.4487, 0.7882, 0.8889, 0.2462
012, 0.4321, 0.7706, 0.7222, 0.2657
013, 0.4249, 0.7529, 0.7778, 0.2852
014, 0.4245, 0.7529, 0.7778, 0.3048
015, 0.4235, 0.7765, 0.7222, 0.3246
016, 0.4164, 0.7824, 0.7778, 0.3444
017, 0.4050, 0.7941, 0.8889, 0.3653
018, 0.3956, 0.8176, 0.8889, 0.3851
019, 0.3924, 0.8588, 0.8889, 0.4047
020, 0.3911, 0.8647, 0.8889, 0.4241
021, 0.3848, 0.8294, 0.8889, 0.4436
022, 0.3748, 0.8118, 0.8889, 0.4626
023, 0.3685, 0.8000, 0.8889, 0.4812
024, 0.3672, 0.7941, 0.8889, 0.4993
025, 0.3651, 0.8118, 0.8889, 0.5189
026, 0.3592, 0.8235, 0.8889, 0.5383
027, 0.3540, 0.8588, 0.8889, 0.5576
028, 0.3532, 0.8647, 0.8889, 0.5770
029, 0.3514, 0.8529, 0.8889, 0.5965
030, 0.3462, 0.8235, 0.8889, 0.6159
031, 0.3436, 0.8235, 0.8889, 0.6355
032, 0.3435, 0.8235, 0.8889, 0.6550
033, 0.3403, 0.8529, 0.8889, 0.6744
034, 0.3376, 0.8765, 0.8889, 0.6934
035, 0.3381, 0.8647, 0.8889, 0.7120
036, 0.3360, 0.8353, 0.8889, 0.7301
037, 0.3340, 0.8235, 0.8889, 0.7496
038, 0.3344, 0.8412, 0.8889, 0.7690
039, 0.3323, 0.8706, 0.8889, 0.7883
040, 0.3311, 0.8765, 0.8889, 0.8076
041, 0.3309, 0.8647, 0.8889, 0.8272
042, 0.3286, 0.8529, 0.8889, 0.8468
043, 0.3283, 0.8588, 0.8889, 0.8663
044, 0.3269, 0.8765, 0.8889, 0.8859
045, 0.3254, 0.8765, 0.8889, 0.9053
046, 0.3249, 0.8765, 0.8889, 0.9245
047, 0.3230, 0.8706, 0.8889, 0.9432
048, 0.3225, 0.8706, 0.8889, 0.9613
049, 0.3211, 0.8882, 0.8333, 0.9806
050, 0.3204, 0.8882, 0.8333, 0.9999
051, 0.3194, 0.8647, 0.8889, 1.0194
052, 0.3186, 0.8647, 0.8889, 1.0387
053, 0.3177, 0.8824, 0.8333, 1.0582
054, 0.3167, 0.8824, 0.8333, 1.0778
055, 0.3158, 0.8765, 0.8889, 1.0973
056, 0.3150, 0.8765, 0.8333, 1.1168
057, 0.3140, 0.8882, 0.8333, 1.1362
058, 0.3133, 0.8824, 0.8333, 1.1553
059, 0.3121, 0.8765, 0.8333, 1.1741
060, 0.3114, 0.8882, 0.8333, 1.1923
061, 0.3102, 0.8882, 0.8333, 1.2115
062, 0.3094, 0.8824, 0.8333, 1.2308
063, 0.3084, 0.8882, 0.8333, 1.2500
064, 0.3071, 0.8882, 0.8333, 1.2692
065, 0.3063, 0.8824, 0.8333, 1.2888
066, 0.3054, 0.8882, 0.8333, 1.3084
067, 0.3042, 0.8882, 0.8333, 1.3279
068, 0.3032, 0.8824, 0.8333, 1.3474
069, 0.3024, 0.8882, 0.8333, 1.3666
070, 0.3014, 0.8824, 0.8333, 1.3853
071, 0.3002, 0.8882, 0.8333, 1.4038
072, 0.2990, 0.8824, 0.8333, 1.4228
073, 0.2979, 0.8824, 0.8333, 1.4422
074, 0.2968, 0.8941, 0.8333, 1.4616
075, 0.2957, 0.8882, 0.8333, 1.4810
076, 0.2947, 0.8882, 0.8333, 1.5003
077, 0.2937, 0.8941, 0.8333, 1.5198
078, 0.2926, 0.8882, 0.8889, 1.5393
079, 0.2919, 0.9000, 0.8333, 1.5588
080, 0.2956, 0.8294, 0.8889, 1.5783
081, 0.3187, 0.8706, 0.8333, 1.5978
082, 0.3166, 0.8941, 0.8889, 1.6169
083, 0.2889, 0.8471, 0.8889, 1.6356
084, 0.3036, 0.9000, 0.8333, 1.6537
085, 0.2933, 0.9000, 0.8333, 1.6731
086, 0.2919, 0.8588, 0.8889, 1.6925
087, 0.2965, 0.8882, 0.8889, 1.7119
088, 0.2864, 0.8824, 0.8333, 1.7312
089, 0.2963, 0.8882, 0.8333, 1.7508
090, 0.2840, 0.8765, 0.8889, 1.7703
091, 0.2925, 0.8882, 0.8333, 1.7898
092, 0.2838, 0.8941, 0.8333, 1.8092
093, 0.2881, 0.8824, 0.8889, 1.8285
094, 0.2843, 0.8824, 0.8889, 1.8474
095, 0.2840, 0.9000, 0.8333, 1.8660
096, 0.2840, 0.8941, 0.8333, 1.8843
097, 0.2806, 0.8824, 0.8889, 1.9039
098, 0.2830, 0.8941, 0.8333, 1.9233
099, 0.2782, 0.9000, 0.8333, 1.9426
100, 0.2815, 0.8941, 0.8333, 1.9620
101, 0.2770, 0.8882, 0.8889, 1.9814
102, 0.2786, 0.9000, 0.8333, 2.0008
103, 0.2769, 0.9000, 0.8333, 2.0207
104, 0.2751, 0.8882, 0.8889, 2.0405
105, 0.2762, 0.9000, 0.8333, 2.0600
106, 0.2730, 0.9000, 0.8333, 2.0795
107, 0.2740, 0.8941, 0.8333, 2.0988
108, 0.2729, 0.8941, 0.8333, 2.1173
109, 0.2708, 0.8941, 0.8333, 2.1354
110, 0.2719, 0.8941, 0.8333, 2.1549
111, 0.2701, 0.8941, 0.8333, 2.1743
112, 0.2685, 0.8941, 0.8333, 2.1935
113, 0.2691, 0.8941, 0.8333, 2.2130
114, 0.2676, 0.8941, 0.8333, 2.2325
115, 0.2659, 0.8941, 0.8333, 2.2521
116, 0.2661, 0.8941, 0.8333, 2.2716
